date,BTC_Price,BTC_network_hashrate,Difficulty_BTC,Estimated_TX_Volume_USD_BTC,Gold_in_USD,Litecoin_Price,DJI
06/10/2016,612.47,2002575.35,2.41E+11,149242509.6,1254.5,3.85,18268.5
05/10/2016,610.22,1894652.12,2.41E+11,168434258.2,1269.4,3.83,18281.0293
04/10/2016,612.05,1822703.31,2.41E+11,153303975.3,1283.3,3.84,18168.44922
03/10/2016,610.97,1690797.15,2.41E+11,98603245.04,1313.3,3.85,18253.84961
30/09/2016,605.72,1714780.09,2.41E+11,154115925.8,1322.5,3.84,18308.15039
29/09/2016,605.02,1774737.43,2.41E+11,150481350,1318.1,3.84,18143.44922
28/09/2016,606.24,2026558.28,2.41E+11,147525117.8,1322.5,3.85,18339.24023
27/09/2016,608.02,1834694.78,2.41E+11,151722294.1,1327,3.86,18228.30078
26/09/2016,600.81,2230413.26,2.35E+11,153681855.5,1340.5,3.8,18094.83008
23/09/2016,596.2,1582896.02,2.26E+11,118467306.4,1338.65,3.77,18261.44922
22/09/2016,597.28,1863551.35,2.26E+11,152507128.5,1339.1,3.86,18392.46094
21/09/2016,603.59,1717610.58,2.26E+11,148383128.5,1326.1,3.87,18293.69922
20/09/2016,609.25,1493086.32,2.26E+11,134760154.4,1313.8,3.83,18129.96094
19/09/2016,609.87,1627800.88,2.26E+11,101804671.5,1314.85,4.04,18120.16992
16/09/2016,607.25,1728836.79,2.26E+11,123313922.9,1308.35,3.82,18123.80078
15/09/2016,610.59,1751289.22,2.26E+11,134490737.6,1310.8,3.83,18212.48047
14/09/2016,608.84,1863551.35,2.26E+11,145930431.2,1321.75,3.82,18034.76953
13/09/2016,608.03,1829872.71,2.25E+11,131334047.5,1323.65,3.83,18066.75
12/09/2016,607.01,1799709.05,2.21E+11,99918473.18,1324.6,3.87,18325.07031
09/09/2016,626.35,1580232.34,2.21E+11,154415043.4,1330.85,3.98,18085.44922
08/09/2016,614.64,1668023.03,2.21E+11,143426494.4,1343.4,3.97,18479.91016
07/09/2016,610.57,1492441.65,2.21E+11,140759736.1,1348.35,3.99,18526.14063
06/09/2016,606.51,1536337,2.21E+11,159238902.6,1337.25,3.98,18538.11914
02/09/2016,572.41,1547310.83,2.21E+11,160610637.8,1324.7,3.84,18491.96094
01/09/2016,575.55,1481467.82,2.21E+11,162059671.7,1309.5,3.8,18419.30078
31/08/2016,577.59,1810682.89,2.21E+11,153077158.7,1309.25,3.81,18400.88086
30/08/2016,574.11,1635101.52,2.18E+11,144265305.9,1318.15,3.77,18454.30078
29/08/2016,574.07,1642480.66,2.17E+11,82377528.3,1318.75,3.74,18502.99023
26/08/2016,577.75,1404753.2,2.17E+11,140844312.9,1318.75,3.8,18395.40039
25/08/2016,580.18,1653286.46,2.17E+11,157159537.2,1321.3,3.86,18448.41016
24/08/2016,583.41,1588451.69,2.17E+11,165358019.8,1327.25,3.93,18481.48047
23/08/2016,586.77,1718121.22,2.17E+11,146968577.6,1342,3.66,18547.30078
22/08/2016,581.31,1761344.39,2.17E+11,79203717.81,1335.9,3.62,18529.41992
19/08/2016,574.34,1664092.25,2.17E+11,141677830,1346.4,3.61,18552.57031
18/08/2016,573.71,1329112.64,2.17E+11,162671083.2,1350.05,3.6,18597.69922
17/08/2016,577.76,1469587.96,2.17E+11,182623774.5,1343.35,3.65,18573.93945
16/08/2016,567.24,1577645.9,2.03E+11,120670960.5,1344,3.59,18552.01953
15/08/2016,570.49,1645931.21,2.02E+11,116178765.9,1339.4,3.65,18636.05078
12/08/2016,588.8,1505424.89,2.02E+11,187360466.6,1352.2,3.74,18576.4707
11/08/2016,592.12,1525497.22,2.02E+11,174776758.7,1355,3.72,18613.51953
10/08/2016,587.65,1254520.74,2.02E+11,152251392.8,1347.7,3.76,18495.66016
09/08/2016,591.04,1495388.72,2.02E+11,141320110,1341,3.78,18533.05078
08/08/2016,592.74,1485352.56,2.02E+11,154550349.7,1336.8,3.77,18529.28906
05/08/2016,578.28,1535533.39,2.02E+11,209474938.5,1340.4,3.74,18543.5293
04/08/2016,566.33,1686075.87,2.02E+11,205115591.3,1362.75,3.71,18352.05078
03/08/2016,548.66,1555605.72,2.11E+11,319085008.1,1358.9,3.64,18355
02/08/2016,606.4,1623753.77,2.13E+11,173391619.3,1363.75,3.87,18313.76953
01/08/2016,624.6,1634366.54,2.13E+11,146181270.1,1349.65,4.06,18404.50977
29/07/2016,655.11,1453949.46,2.13E+11,169387536.7,1342,3.97,18432.24023
28/07/2016,654.49,1358434.53,2.13E+11,169779142.3,1341.75,3.97,18456.34961
27/07/2016,651.63,1369047.3,2.13E+11,177602256.8,1329,3.96,18472.16992
26/07/2016,654.23,1400885.61,2.13E+11,136159538.3,1323,4.04,18473.75
25/07/2016,661.26,1337208.99,2.13E+11,130573193.9,1313.15,4.07,18493.06055
22/07/2016,664.92,1411498.38,2.13E+11,139216838.4,1320.75,4.13,18570.84961
21/07/2016,665.23,1591915.46,2.13E+11,167509836.8,1321.15,4.13,18517.23047
20/07/2016,672.81,1358434.53,2.13E+11,237841255.9,1315.9,4.15,18595.0293
19/07/2016,672.74,1581302.69,2.13E+11,196352735.7,1330.9,4.15,18559.00977
18/07/2016,679.81,1580609.59,2.13E+11,161580179,1334.7,4.2,18533.05078
15/07/2016,659.17,1506352.77,2.13E+11,164674255.3,1327,4.15,18516.55078
14/07/2016,652.92,1379055.35,2.13E+11,187860898,1323.6,4.14,18506.41016
13/07/2016,664.8,1516960.89,2.13E+11,193691457.4,1342.75,4.16,18372.11914
12/07/2016,648.28,1516960.89,2.13E+11,166782085.8,1342.4,4.09,18347.66992
11/07/2016,648.48,1654866.42,2.13E+11,102817416.2,1357.1,4.12,18226.92969
08/07/2016,640.69,1463920.3,2.13E+11,211036735.6,1354.25,4.12,18146.74023
07/07/2016,678.09,1485136.53,2.13E+11,183599980.7,1356.7,4.5,17895.88086
06/07/2016,670.42,1538177.12,2.13E+11,195754949.9,1366.25,4.46,17918.61914
05/07/2016,683.21,1601825.83,2.10E+11,163158062.2,1350.75,4.56,17840.61914
01/07/2016,672.52,1561795.94,2.09E+11,228428274.7,1340,4.19,17949.36914
30/06/2016,640.59,1520148.05,2.09E+11,199609619.2,1320.75,4.08,17929.99023
29/06/2016,644.12,1551383.97,2.09E+11,204747904.5,1321.5,4.1,17694.67969
28/06/2016,658.1,1530560.02,2.09E+11,205564516.7,1309.7,4.14,17409.7207
27/06/2016,629.35,1530560.02,2.09E+11,161836641.2,1324.55,4.05,17140.24023
24/06/2016,625.58,1457676.21,2.09E+11,304840842.5,1315.5,3.85,17400.75
23/06/2016,597.44,1343144.51,2.09E+11,287826976.7,1262.15,3.92,18011.07031
22/06/2016,665.91,1551383.97,2.06E+11,314077556.9,1264.85,4.83,17780.83008
21/06/2016,735.88,1598387.66,1.96E+11,217443810.7,1272.6,5.27,17829.73047
20/06/2016,763.93,1725089.12,1.96E+11,154471559.7,1281.8,5.63,17804.86914
16/06/2016,696.52,1500925,1.96E+11,233609444.6,1310.75,5.25,17733.09961
15/06/2016,685.68,1296253.41,1.96E+11,249400335.6,1283.3,5.22,17640.16992
14/06/2016,704.5,1569148.866,1.96E+11,193653353.3,1287.15,5.31,17674.82031
13/06/2016,671.65,1422954.872,1.96E+11,298940133.4,1280.8,5.41,17732.48047
10/06/2016,575.84,1608133.931,1.96E+11,211910903.4,1275.5,4.75,17865.33984
09/06/2016,582.2,1403462.34,1.96E+11,178904099.3,1263.9,4.78,17985.18945
08/06/2016,577.17,1406915.64,1.99E+11,207725690.1,1263,4.77,18005.05078
07/06/2016,585.45,1684335.625,1.99E+11,178161282.1,1241,4.95,17938.2793
06/06/2016,574.6,1694243.482,1.99E+11,139945580.8,1244,4.81,17920.33008
03/06/2016,537.68,1367284.213,1.99E+11,189861752,1240.5,4.72,17807.06055
02/06/2016,536.52,1426731.353,1.99E+11,194100011.2,1212.4,4.74,17838.56055
01/06/2016,531.11,1258297.79,1.99E+11,220052229.1,1214.5,4.65,17789.66992
31/05/2016,534.19,1436639.21,1.99E+11,232301687.3,1212.1,4.69,17787.19922
27/05/2016,453.52,1357376.357,1.99E+11,166731059.5,1216.25,4.09,17873.2207
26/05/2016,449.67,1377192.07,1.99E+11,171807424.3,1223.85,4.05,17828.28906
25/05/2016,446.06,1456454.923,1.95E+11,147616920,1220.6,3.95,17851.50977
24/05/2016,444.29,1747819.168,1.94E+11,127147867.8,1236.85,3.96,17706.05078
23/05/2016,439.35,1776788.547,1.94E+11,84832969.49,1245.9,3.92,17492.92969
20/05/2016,437.79,1168431.599,1.94E+11,161110261.4,1254.2,3.82,17500.93945
19/05/2016,454.52,1487094.762,1.94E+11,156226625.3,1246.25,4,17435.40039
18/05/2016,453.69,1361560.789,1.94E+11,144340459,1272.9,3.98,17526.61914
17/05/2016,454.01,1361560.789,1.94E+11,138501762.6,1277,4,17529.98047
16/05/2016,457.59,1342247.87,1.94E+11,97252822.46,1285.75,4.06,17710.71094
13/05/2016,454.85,1342247.87,1.94E+11,158093082.9,1265.9,3.86,17535.32031
12/05/2016,452.45,1284309.113,1.91E+11,143001664.2,1279.25,3.88,17720.5
11/05/2016,450.86,1403229.58,1.79E+11,153374229.6,1276.85,3.82,17711.11914
10/05/2016,460.52,1536447.578,1.79E+11,138359065.9,1262.8,4.06,17928.34961
09/05/2016,458.21,1447635.58,1.79E+11,72466700.77,1265.25,3.94,17705.91016
06/05/2016,447.94,1385467.181,1.79E+11,129129621.4,1289,3.72,17740.63086
05/05/2016,446.71,1492041.579,1.79E+11,193746215.1,1280.25,3.74,17660.71094
04/05/2016,450.18,1341061.181,1.79E+11,145137873.8,1283,3.74,17651.25977
03/05/2016,444.73,1394348.38,1.79E+11,143257803.9,1294,3.68,17750.91016
02/05/2016,451.93,1376585.981,1.79E+11,85326421.84,1285.65,3.71,17891.16016
29/04/2016,449.41,1207843.183,1.79E+11,171720826,1285.65,3.79,17773.64063
28/04/2016,445.04,1145796.944,1.79E+11,167458968.2,1256,3.88,17830.75977
27/04/2016,466.26,1341204.175,1.79E+11,170332016.5,1247.4,4.05,18041.55078
26/04/2016,461.65,1128032.65,1.79E+11,168025613.1,1241.7,3.8,17990.32031
25/04/2016,459.12,1172443.384,1.79E+11,110486293.2,1238.9,3.62,17977.24023
22/04/2016,449.69,1341204.175,1.79E+11,156462733.1,1243.25,3.35,18003.75
21/04/2016,441.42,1465554.23,1.79E+11,138381943,1249.25,3.28,17982.51953
20/04/2016,435.32,1332322.028,1.79E+11,118542250,1252,3.29,18096.26953
19/04/2016,428.7,1199089.825,1.79E+11,104817236,1255.4,3.25,18053.59961
18/04/2016,427.61,1358968.468,1.79E+11,79440650,1234.3,3.26,18004.16016
15/04/2016,424.43,1465554.23,1.79E+11,116332488,1227.1,3.24,17897.46094
14/04/2016,423.93,1302194.693,1.67E+11,131626794,1233.85,3.25,17926.42969
13/04/2016,425.63,1260723.524,1.67E+11,145387002,1245.75,3.26,17908.2793
12/04/2016,422.84,1252429.291,1.67E+11,111212456,1254.6,3.24,17721.25
11/04/2016,421.87,1443196.666,1.67E+11,84161958,1254.75,3.23,17556.41016
08/04/2016,422.91,1210958.122,1.67E+11,159074674,1239.5,3.24,17576.96094
07/04/2016,423.62,1285606.226,1.67E+11,151503740,1242.1,3.26,17541.96094
06/04/2016,424.28,1235840.823,1.67E+11,139881431,1221.4,3.26,17716.05078
05/04/2016,421.02,1360254.329,1.67E+11,111607536,1231.25,3.25,17603.32031
04/04/2016,421.3,1219252.356,1.67E+11,75942750,1219.75,3.26,17737
01/04/2016,416.76,1028361.537,1.65E+11,122664433,1213.6,3.25,17792.75
31/03/2016,415.26,1308075.875,1.65E+11,156573869,1237,3.23,17685.08984
30/03/2016,416.83,1398571.69,1.65E+11,117297491,1236.25,3.23,17716.66016
29/03/2016,424.3,1168218.706,1.65E+11,120905357,1226,3.26,17633.10938
28/03/2016,426.55,1258714.521,1.65E+11,115335330,1221,3.3,17535.39063
24/03/2016,418.42,1242260.737,1.65E+11,111018758,1221,3.25,17515.73047
23/03/2016,418.16,1225806.952,1.65E+11,123716357,1217.6,3.23,17502.58984
22/03/2016,413.13,1036588.429,1.65E+11,95667032,1252.5,3.2,17582.57031
21/03/2016,413.42,1242260.737,1.65E+11,70623066,1244.9,3.21,17623.86914
18/03/2016,420.55,1063186.967,1.58E+11,115249577,1252.1,3.31,17602.30078
17/03/2016,417.89,1338828.033,1.58E+11,106343004,1266.5,3.31,17481.49023
16/03/2016,416.89,1197069.77,1.58E+11,117684224,1228.5,3.31,17325.75977
15/03/2016,416.39,1197069.77,1.58E+11,117684224,1232,3.3,17251.5293
14/03/2016,414.2,1189194.311,1.58E+11,112266995,1242.75,3.31,17229.13086
11/03/2016,417.24,1267948.902,1.58E+11,139051016,1264.75,3.29,17213.31055
10/03/2016,414.74,1299450.738,1.58E+11,114428780,1266.5,3.28,16995.13086
09/03/2016,413.89,1055311.508,1.58E+11,120042367,1246.4,3.25,17000.35938
08/03/2016,414.46,1220696.147,1.58E+11,127840873,1267,3.27,16964.09961
07/03/2016,407.76,1094688.803,1.58E+11,135654591,1267.9,3.22,17073.94922
04/03/2016,421.84,1080919.495,1.63E+11,216563283,1277.5,3.32,17006.76953
03/03/2016,423.91,1275972.637,1.63E+11,236848413,1250.25,3.36,16943.90039
02/03/2016,435.13,1040283.424,1.63E+11,222905346,1239.2,3.43,16899.32031
01/03/2016,437.92,1097173.923,1.63E+11,226500160,1236.5,3.45,16865.08008
29/02/2016,433.44,1210954.923,1.63E+11,146428747,1234.9,3.44,16516.5
26/02/2016,424.63,1178446.066,1.63E+11,150561021,1226.5,3.37,16639.9707
25/02/2016,425.04,999647.3525,1.63E+11,140056077,1236,3.39,16697.28906
24/02/2016,420.96,1097173.923,1.63E+11,157192209,1250.75,3.4,16484.99023
23/02/2016,438.26,1056537.852,1.63E+11,142238677,1221.35,3.49,16431.7793
22/02/2016,438.99,1024028.995,1.63E+11,136792550,1211,3.47,16620.66016
19/02/2016,422.73,1289532.147,1.44E+11,150820601,1231.15,3.26,16391.99023
18/02/2016,416.57,1002969.447,1.44E+11,171220047,1210.1,3.25,16413.42969
17/02/2016,407.66,1067446.055,1.44E+11,150215514,1210,3.23,16453.83008
16/02/2016,401.43,1060281.987,1.44E+11,144821341,1209.5,3.2,16196.41016
12/02/2016,379.69,1375500.956,1.44E+11,135127313,1239.75,3.09,15973.83984
11/02/2016,382.11,1210727.404,1.44E+11,129887155,1241,3.11,15660.17969
10/02/2016,376.15,1210727.404,1.44E+11,108565966,1190,3.09,15914.74023
09/02/2016,373.42,1153414.864,1.44E+11,93311393,1191,3.08,16014.37988
08/02/2016,376.76,1303860.281,1.44E+11,79599219,1193.25,3.09,16027.04981
05/02/2016,388.9,1103874.6,1.20E+11,121094475,1150.35,3.17,16204.96973
04/02/2016,370.17,1038238.813,1.20E+11,107890707,1156.35,3.06,16416.58008
03/02/2016,374.65,978569.9154,1.20E+11,144577638,1132,3.09,16336.66016
02/02/2016,372.92,1050172.592,1.20E+11,150761429,1128.5,3.09,16153.54004
01/02/2016,369.35,1068073.261,1.20E+11,76182517,1126.5,3.07,16449.17969
29/01/2016,380.11,883099.6798,1.20E+11,150896201,1111.8,3.14,16466.30078
28/01/2016,395.15,918901.0182,1.20E+11,134666967,1114,3.29,16069.63965
27/01/2016,392.44,978569.9154,1.20E+11,124530436,1116.25,3.16,15944.45996
26/01/2016,392,974832.9956,1.13E+11,179714636,1113.6,3.13,16167.23047
25/01/2016,402.32,935388.8859,1.13E+11,80026649,1106.6,3.19,15885.21973
22/01/2016,409.75,755072.9561,1.13E+11,135289667,1096.25,3.23,16093.50977
21/01/2016,419.63,822691.4298,1.13E+11,128208178,1096.5,3.38,15882.67969
20/01/2016,379.74,839596.0482,1.13E+11,86289615,1101.75,3.01,15766.74023
19/01/2016,387.03,986102.7412,1.13E+11,73971077,1086.25,3.05,16016.01953
15/01/2016,430.26,743803.2105,1.13E+11,88360661,1093.75,3.46,15988.08008
14/01/2016,432.29,862135.5394,1.13E+11,107417819,1088.4,3.47,16379.04981
13/01/2016,434.67,908849.8762,1.04E+11,99053316,1088.15,3.49,16151.41016
12/01/2016,448.18,877866.3577,1.04E+11,106830047,1085.4,3.55,16516.2207
11/01/2016,448.7,877866.3577,1.04E+11,85552386,1100.75,3.53,16398.57031
08/01/2016,457.54,743604.4442,1.04E+11,127522745,1101.85,3.6,16346.4502
07/01/2016,430.01,702293.0862,1.04E+11,92674992,1106.35,3.45,16514.09961
06/01/2016,431.86,841718.9194,1.04E+11,90298235,1091.4,3.47,16906.50977
05/01/2016,433.07,903685.9565,1.04E+11,81211038,1077,3.49,17158.66016
04/01/2016,430.06,769424.0429,1.04E+11,51825525,1082.25,3.48,17148.93945
31/12/2015,425.88,803647.0416,93448670796,99926963,1060,3.46,17425.0293
30/12/2015,433.3,706094.5105,93448670796,102312368,1060,3.51,17603.86914
29/12/2015,422.1,747902.7381,93448670796,105765156,1070.1,3.47,17720.98047
28/12/2015,423.34,905844.9313,93448670796,77008774,1068.25,3.48,17528.26953
24/12/2015,443.09,766484.1726,93448670796,169017138,1068.25,3.59,17552.16992
23/12/2015,436.72,654995.5657,93448670796,204851463,1068.25,3.43,17602.60938
22/12/2015,437.44,715385.2278,93448670796,191824512,1074.9,3.46,17417.26953
21/12/2015,442.84,785065.6071,93448670796,137599935,1078.75,3.55,17251.61914
18/12/2015,455.85,625219.9086,79102380900,178504692,1062.5,3.75,17128.55078
17/12/2015,454.78,660609.7147,79102380900,196572300,1049.4,3.7,17495.83984
16/12/2015,465.21,758914.7318,79102380900,211179671,1075.25,3.84,17749.08984
15/12/2015,443.88,692067.3202,79102380900,180001345,1061.5,3.62,17524.91016
14/12/2015,433.27,585897.9018,79102380900,166932544,1068.25,3.64,17368.5
11/12/2015,415.28,770711.3338,79102380900,188140441,1072.5,3.67,17265.21094
10/12/2015,417.99,695999.5209,79102380900,209048581,1071,3.67,17574.75
09/12/2015,414.44,625219.9086,79102380900,169230099,1081,3.68,17492.30078
08/12/2015,395.75,593762.3031,79102380900,171097161,1072.1,3.65,17568
07/12/2015,389.98,621791.8738,72722780643,204388399,1075.8,3.45,17730.50977
04/12/2015,361.26,520569.9409,72722780643,144818393,1079.25,3.38,17847.63086
03/12/2015,359.33,531415.148,72722780643,179126440,1055.45,3.35,17477.66992
